#FILE:02 A2 0.1 M Sucrose.ngb-sd7
#FORMAT:NETZSCH5
#IDENTITY:02 A2 0.1 M Sucrose
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:Cumerr Rapid
#DATE/TIME:22.02.2016 18:12:13
#CORR. FILE:
#LABORATORY:Bioreaktor
#OPERATOR:MM
#REMARK:
#SAMPLE:0.1 M
#SAMPLE MASS /mg:29.8
#MATERIAL:DMSO+5%DMSO
#REFERENCE:Leertiegel
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:38.7
#REFERENCE CRUCIBLE MASS /mg:39.1
#CORR. CODE:000
#EXO:-1
#RANGE:-80....20/-10.0....10.0K/min
#SEGMENT:S1-5/5

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
    22.50900;0.0000e+000;-8.1080e-003;3.20970;1
    22.50833;3.3333e-003;-8.1001e-003;3.20970;1
    22.50760;6.6667e-003;-8.1001e-003;3.20970;1
    22.50743;1.0000e-002;-8.1001e-003;3.20970;1
    22.50722;1.3333e-002;-8.1001e-003;3.20970;1
    22.50664;1.6667e-002;-8.0682e-003;3.20970;1
    22.50646;2.0000e-002;-8.0602e-003;3.20970;1
    22.50607;2.3333e-002;-8.0522e-003;3.20969;1
    22.50582;2.6667e-002;-8.0682e-003;3.20969;1
    22.50547;3.0000e-002;-8.0603e-003;3.20969;1
    22.50529;3.3333e-002;-8.0523e-003;3.20969;1
    22.50488;3.6667e-002;-8.0203e-003;3.20969;1
    22.50459;4.0000e-002;-8.0044e-003;3.20969;1
    22.50429;4.3333e-002;-8.0124e-003;3.20969;1
    22.50400;4.6667e-002;-8.0124e-003;3.20969;1
    22.50371;5.0000e-002;-8.0124e-003;3.20969;1
    22.50341;5.3333e-002;-8.0204e-003;3.20969;1
    22.50312;5.6667e-002;-8.0204e-003;3.20969;1
    22.50294;6.0000e-002;-8.0363e-003;3.20969;1
    22.50265;6.3333e-002;-8.0284e-003;3.20969;1
    22.50224;6.6667e-002;-8.0363e-003;3.20969;1
    22.50182;7.0000e-002;-8.0443e-003;3.20969;1
    22.50141;7.3333e-002;-8.0204e-003;3.20969;1
    22.50106;7.6667e-002;-8.0124e-003;3.20969;1
    22.50059;8.0000e-002;-8.0284e-003;3.20969;1
    22.50006;8.3333e-002;-8.0364e-003;3.20969;1
    22.49947;8.6667e-002;-8.0364e-003;3.20969;1
    22.49876;9.0000e-002;-8.0523e-003;3.20969;1
    22.49806;9.3333e-002;-8.1082e-003;3.20969;1
    22.49729;9.6667e-002;-8.3076e-003;3.20969;1
    22.49641;    0.10000;-8.4273e-003;3.20969;1
    22.49529;    0.10333;-8.7543e-003;3.20969;1
    22.49406;    0.10667;-8.8819e-003;3.20969;1
    22.49271;    0.11000;-9.0415e-003;3.20968;1
    22.49129;    0.11333;-9.2090e-003;3.20968;1
    22.48976;    0.11667;-9.4084e-003;3.20968;1
    22.48812;    0.12000;-9.6238e-003;3.20968;1
    22.48641;    0.12333;-9.9748e-003;3.20968;1
    22.48453;    0.12667;-1.0342e-002;3.20968;1
    22.48247;    0.13000;-1.0685e-002;3.20968;1
    22.48029;    0.13333;-1.1068e-002;3.20968;1
    22.47788;    0.13667;-1.1578e-002;3.20967;1
    22.47535;    0.14000;-1.1993e-002;3.20967;1
    22.47294;    0.14333;-1.2440e-002;3.20967;1
    22.47035;    0.14667;-1.2847e-002;3.20967;1
    22.46753;    0.15000;-1.3277e-002;3.20967;1
    22.46465;    0.15333;-1.3756e-002;3.20966;1
    22.46176;    0.15667;-1.4290e-002;3.20966;1
    22.45888;    0.16000;-1.4817e-002;3.20966;1
    22.45582;    0.16333;-1.5543e-002;3.20966;1
    22.45265;    0.16667;-1.6181e-002;3.20965;1
    22.44935;    0.17000;-1.6835e-002;3.20965;1
    22.44600;    0.17333;-1.7497e-002;3.20965;1
    22.44253;    0.17667;-1.8119e-002;3.20965;1
    22.43888;    0.18000;-1.8726e-002;3.20964;1
    22.43524;    0.18333;-1.9404e-002;3.20964;1
    22.43159;    0.18667;-2.0122e-002;3.20964;1
    22.42771;    0.19000;-2.0840e-002;3.20964;1
    22.42400;    0.19333;-2.1590e-002;3.20963;1
    22.42012;    0.19667;-2.2339e-002;3.20963;1
    22.41582;    0.20000;-2.3225e-002;3.20963;1
    22.41147;    0.20333;-2.4007e-002;3.20962;1
    22.40724;    0.20667;-2.4844e-002;3.20962;1
    22.40276;    0.21000;-2.5626e-002;3.20962;1
    22.39818;    0.21333;-2.6456e-002;3.20961;1
    22.39353;    0.21667;-2.7293e-002;3.20961;1
    22.38876;    0.22000;-2.8107e-002;3.20961;1
    22.38394;    0.22333;-2.8977e-002;3.20960;1
    22.37906;    0.22667;-3.0054e-002;3.20960;1
    22.37412;    0.23000;-3.1083e-002;3.20959;1
    22.36900;    0.23333;-3.1952e-002;3.20959;1
    22.36376;    0.23667;-3.2870e-002;3.20959;1
    22.35847;    0.24000;-3.3827e-002;3.20958;1
    22.35306;    0.24333;-3.4816e-002;3.20958;1
    22.34765;    0.24667;-3.5765e-002;3.20957;1
    22.34206;    0.25000;-3.6611e-002;3.20957;1
    22.33647;    0.25333;-3.7584e-002;3.20957;1
    22.33082;    0.25667;-3.8661e-002;3.20956;1
    22.32512;    0.26000;-3.9730e-002;3.20956;1
    22.31935;    0.26333;-4.0775e-002;3.20955;1
    22.31353;    0.26667;-4.1844e-002;3.20955;1
    22.30765;    0.27000;-4.2890e-002;3.20954;1
    22.30159;    0.27333;-4.3959e-002;3.20954;1
    22.29559;    0.27667;-4.5012e-002;3.20954;1
    22.28941;    0.28000;-4.6065e-002;3.20953;1
    22.28318;    0.28333;-4.7086e-002;3.20953;1
    22.27682;    0.28667;-4.8179e-002;3.20952;1
    22.27053;    0.29000;-4.9216e-002;3.20952;1
    22.26429;    0.29333;-5.0317e-002;3.20951;1
    22.25800;    0.29667;-5.1434e-002;3.20951;1
    22.25147;    0.30000;-5.2543e-002;3.20950;1
    22.24494;    0.30333;-5.3652e-002;3.20950;1
    22.23829;    0.30667;-5.4753e-002;3.20949;1
    22.23159;    0.31000;-5.5862e-002;3.20949;1
    22.22506;    0.31333;-5.6915e-002;3.20948;1
    22.21835;    0.31667;-5.7968e-002;3.20948;1
    22.21159;    0.32000;-5.9029e-002;3.20947;1
    22.20471;    0.32333;-6.0090e-002;3.20947;1
    22.19771;    0.32667;-6.1191e-002;3.20946;1
    22.19071;    0.33000;-6.2292e-002;3.20946;1
    22.18365;    0.33333;-6.3369e-002;3.20945;1
    22.17665;    0.33667;-6.4446e-002;3.20944;1
    22.16953;    0.34000;-6.5515e-002;3.20944;1
    22.16247;    0.34333;-6.6593e-002;3.20943;1
    22.15524;    0.34667;-6.7646e-002;3.20943;1
    22.14788;    0.35000;-6.8651e-002;3.20942;1
    22.14059;    0.35333;-6.9704e-002;3.20942;1
    22.13341;    0.35667;-7.0789e-002;3.20941;1
    22.12612;    0.36000;-7.1978e-002;3.20941;1
    22.11871;    0.36333;-7.3127e-002;3.20940;1
    22.11124;    0.36667;-7.4220e-002;3.20939;1
    22.10365;    0.37000;-7.5305e-002;3.20939;1
    22.09618;    0.37333;-7.6334e-002;3.20938;1
    22.08841;    0.37667;-7.7428e-002;3.20938;1
    22.08082;    0.38000;-7.8489e-002;3.20937;1
    22.07324;    0.38333;-7.9550e-002;3.20937;1
    22.06559;    0.38667;-8.0635e-002;3.20936;1
    22.05788;    0.39000;-8.1720e-002;3.20935;1
    22.05012;    0.39333;-8.2837e-002;3.20935;1
    22.04229;    0.39667;-8.3930e-002;3.20934;1
    22.03429;    0.40000;-8.4984e-002;3.20934;1
    22.02635;    0.40333;-8.6077e-002;3.20933;1
    22.01841;    0.40667;-8.7170e-002;3.20932;1
    22.01029;    0.41000;-8.8223e-002;3.20932;1
    22.00218;    0.41333;-8.9277e-002;3.20931;1
    21.99406;    0.41667;-9.0354e-002;3.20930;1
    21.98582;    0.42000;-9.1447e-002;3.20930;1
    21.97759;    0.42333;-9.2540e-002;3.20929;1
    21.96924;    0.42667;-9.3649e-002;3.20929;1
    21.96088;    0.43000;-9.4742e-002;3.20928;1
    21.95259;    0.43333;-9.5820e-002;3.20927;1
    21.94418;    0.43667;-9.6905e-002;3.20927;1
    21.93571;    0.44000;-9.7966e-002;3.20926;1
    21.92724;    0.44333;-9.9027e-002;3.20925;1
    21.91876;    0.44667;    -0.10008;3.20925;1
    21.91024;    0.45000;    -0.10109;3.20924;1
    21.90171;    0.45333;    -0.10213;3.20923;1
    21.89306;    0.45667;    -0.10319;3.20923;1
    21.88447;    0.46000;    -0.10431;3.20922;1
    21.87571;    0.46333;    -0.10543;3.20921;1
    21.86694;    0.46667;    -0.10649;3.20921;1
    21.85812;    0.47000;    -0.10748;3.20920;1
    21.84924;    0.47333;    -0.10854;3.20919;1
    21.84047;    0.47667;    -0.10948;3.20919;1
    21.83176;    0.48000;    -0.11046;3.20918;1
    21.82300;    0.48333;    -0.11148;3.20917;1
    21.81400;    0.48667;    -0.11248;3.20917;1
    21.80506;    0.49000;    -0.11352;3.20916;1
    21.79612;    0.49333;    -0.11457;3.20915;1
    21.78712;    0.49667;    -0.11559;3.20915;1
    21.77812;    0.50000;    -0.11658;3.20914;1
    21.76912;    0.50333;    -0.11752;3.20913;1
    21.76006;    0.50667;    -0.11846;3.20912;1
    21.75100;    0.51000;    -0.11939;3.20912;1
    21.74206;    0.51333;    -0.12033;3.20911;1
    21.73294;    0.51667;    -0.12123;3.20910;1
    21.72400;    0.52000;    -0.12216;3.20910;1
    21.71494;    0.52333;    -0.12311;3.20909;1
    21.70588;    0.52667;    -0.12405;3.20908;1
    21.69688;    0.53000;    -0.12502;3.20908;1
    21.68782;    0.53333;    -0.12598;3.20907;1
    21.67871;    0.53667;    -0.12690;3.20906;1
    21.66971;    0.54000;    -0.12781;3.20906;1
    21.66071;    0.54333;    -0.12868;3.20905;1
    21.65171;    0.54667;    -0.12956;3.20904;1
    21.64259;    0.55000;    -0.13043;3.20903;1
    21.63347;    0.55333;    -0.13126;3.20903;1
    21.62429;    0.55667;    -0.13215;3.20902;1
    21.61500;    0.56000;    -0.13301;3.20901;1
    21.60576;    0.56333;    -0.13386;3.20901;1
    21.59653;    0.56667;    -0.13473;3.20900;1
    21.58724;    0.57000;    -0.13556;3.20899;1
    21.57806;    0.57333;    -0.13631;3.20898;1
    21.56871;    0.57667;    -0.13710;3.20898;1
    21.55941;    0.58000;    -0.13773;3.20897;1
    21.55000;    0.58333;    -0.13853;3.20896;1
    21.54059;    0.58667;    -0.13939;3.20896;1
    21.53118;    0.59000;    -0.14027;3.20895;1
    21.52165;    0.59333;    -0.14110;3.20894;1
    21.51194;    0.59667;    -0.14194;3.20893;1
    21.50235;    0.60000;    -0.14276;3.20893;1
    21.49271;    0.60333;    -0.14357;3.20892;1
    21.48294;    0.60667;    -0.14435;3.20891;1
    21.47324;    0.61000;    -0.14513;3.20890;1
    21.46335;    0.61333;    -0.14592;3.20890;1
    21.45335;    0.61667;    -0.14672;3.20889;1
    21.44329;    0.62000;    -0.14753;3.20888;1
    21.43306;    0.62333;    -0.14836;3.20887;1
    21.42271;    0.62667;    -0.14925;3.20886;1
    21.41212;    0.63000;    -0.15016;3.20886;1
    21.40147;    0.63333;    -0.15110;3.20885;1
    21.39065;    0.63667;    -0.15205;3.20884;1
    21.37971;    0.64000;    -0.15301;3.20883;1
    21.36853;    0.64333;    -0.15400;3.20882;1
    21.35718;    0.64667;    -0.15499;3.20881;1
    21.34571;    0.65000;    -0.15608;3.20880;1
    21.33406;    0.65333;    -0.15732;3.20879;1
    21.32224;    0.65667;    -0.15855;3.20879;1
    21.31012;    0.66000;    -0.15977;3.20878;1
    21.29788;    0.66333;    -0.16102;3.20877;1
    21.28541;    0.66667;    -0.16225;3.20876;1
    21.27282;    0.67000;    -0.16349;3.20875;1
    21.26012;    0.67333;    -0.16478;3.20874;1
    21.24724;    0.67667;    -0.16606;3.20873;1
    21.23418;    0.68000;    -0.16740;3.20872;1
    21.22094;    0.68333;    -0.16892;3.20871;1
    21.20753;    0.68667;    -0.17043;3.20870;1
    21.19400;    0.69000;    -0.17196;3.20869;1
    21.18012;    0.69333;    -0.17351;3.20867;1
    21.16612;    0.69667;    -0.17505;3.20866;1
    21.15206;    0.70000;    -0.17655;3.20865;1
    21.13776;    0.70333;    -0.17814;3.20864;1
    21.12324;    0.70667;    -0.17968;3.20863;1
    21.10865;    0.71000;    -0.18126;3.20862;1
    21.09376;    0.71333;    -0.18290;3.20861;1
    21.07876;    0.71667;    -0.18462;3.20860;1
    21.06371;    0.72000;    -0.18632;3.20858;1
    21.04841;    0.72333;    -0.18807;3.20857;1
    21.03306;    0.72667;    -0.18981;3.20856;1
    21.01741;    0.73000;    -0.19158;3.20855;1
    21.00165;    0.73333;    -0.19331;3.20854;1
    20.98582;    0.73667;    -0.19508;3.20852;1
    20.96982;    0.74000;    -0.19687;3.20851;1
    20.95353;    0.74333;    -0.19873;3.20850;1
    20.93712;    0.74667;    -0.20062;3.20848;1
    20.92076;    0.75000;    -0.20256;3.20847;1
    20.90424;    0.75333;    -0.20448;3.20846;1
    20.88741;    0.75667;    -0.20639;3.20845;1
    20.87047;    0.76000;    -0.20833;3.20843;1
    20.85347;    0.76333;    -0.21028;3.20842;1
    20.83624;    0.76667;    -0.21219;3.20840;1
    20.81906;    0.77000;    -0.21410;3.20839;1
    20.80171;    0.77333;    -0.21600;3.20838;1
    20.78424;    0.77667;    -0.21791;3.20836;1
    20.76653;    0.78000;    -0.21985;3.20835;1
    20.74865;    0.78333;    -0.22182;3.20834;1
    20.73076;    0.78667;    -0.22391;3.20832;1
    20.71265;    0.79000;    -0.22597;3.20831;1
    20.69435;    0.79333;    -0.22803;3.20829;1
    20.67594;    0.79667;    -0.23005;3.20828;1
    20.65765;    0.80000;    -0.23205;3.20826;1
    20.63912;    0.80333;    -0.23406;3.20825;1
    20.62035;    0.80667;    -0.23607;3.20823;1
    20.60159;    0.81000;    -0.23808;3.20822;1
    20.58265;    0.81333;    -0.24012;3.20820;1
    20.56365;    0.81667;    -0.24223;3.20819;1
    20.54447;    0.82000;    -0.24436;3.20817;1
    20.52518;    0.82333;    -0.24649;3.20816;1
    20.50559;    0.82667;    -0.24862;3.20814;1
    20.48594;    0.83000;    -0.25075;3.20813;1
    20.46612;    0.83333;    -0.25287;3.20811;1
    20.44618;    0.83667;    -0.25498;3.20810;1
    20.42612;    0.84000;    -0.25708;3.20808;1
    20.40594;    0.84333;    -0.25922;3.20806;1
    20.38565;    0.84667;    -0.26144;3.20805;1
    20.36524;    0.85000;    -0.26368;3.20803;1
    20.34471;    0.85333;    -0.26593;3.20802;1
    20.32394;    0.85667;    -0.26815;3.20800;1
    20.30300;    0.86000;    -0.27037;3.20798;1
    20.28200;    0.86333;    -0.27263;3.20797;1
    20.26076;    0.86667;    -0.27489;3.20795;1
    20.23947;    0.87000;    -0.27713;3.20793;1
    20.21806;    0.87333;    -0.27937;3.20792;1
    20.19653;    0.87667;    -0.28157;3.20790;1
    20.17488;    0.88000;    -0.28383;3.20788;1
    20.15312;    0.88333;    -0.28610;3.20786;1
    20.13124;    0.88667;    -0.28836;3.20785;1
    20.10918;    0.89000;    -0.29069;3.20783;1
    20.08712;    0.89333;    -0.29302;3.20781;1
    20.06482;    0.89667;    -0.29532;3.20779;1
    20.04241;    0.90000;    -0.29761;3.20777;1
    20.01988;    0.90333;    -0.29989;3.20776;1
    19.99724;    0.90667;    -0.30220;3.20774;1
